ID,"TITLE","CONTENT","DATE_","NEWS_URL"
1151,Samsung's 32-inch Smart Monitor M8 falls to a new low,"Samsung's 32-inch Smart Monitor M8 can act not only as a monitor with a webcam, but a smart TV as well thanks to the built-in speakers and support for cloud gaming and streaming platforms. Now, you c… [+1684 chars]","2022-09-13 20:00:41",https://www.engadget.com/samsungs-32-inch-m-8-smart-monitor-falls-to-a-new-low-080717748.html
1152,The best fast chargers available right now,"Now that companies like Apple, Google and Samsung are no longer including power adapters with new phones, getting the right charger for your device is a little trickier than it used to be. And while … [+11277 chars]","2022-09-13 20:00:41",https://www.engadget.com/best-fast-chargers-140011033.html
1153,"How to Watch Apple’s iPhone 14 Launch, and What to Expect","We can always count on Apple to announce the newest iPhone model every September. This years event is almost upon us; the company is expected to unveil its lineup of iPhone 14s, as well as at least a… [+4099 chars]","2022-09-13 20:00:41",https://www.wired.com/story/apple-event-september-2022-iphone-14-how-to-watch-what-to-expect/
1154,Google Will Unveil the Pixel 7 on Oct. 6 in New York City,"Not to be forgotten in the maelstrom of the Apple event news, Google has officially announced the next Made By Google launch event. The event is happening Thursday, Oct. 6 at 7 a.m. PT / 10 a.m. ET i… [+3118 chars]","2022-09-13 20:00:41",https://gizmodo.com/google-pixel-7-pro-watch-release-date-reveal-event-nyc-1849502216
1155,Hackers Hide Malware in App Pretending to Be China-Repressed Uyghur Activist's Memoir,Hackers are targeting members of the ever-repressed minority Uyghur community in western China by trying to get users to download a fake app version of a book released by a prominent Uyghur activist.… [+3136 chars],"2022-09-13 20:00:41",https://gizmodo.com/hackers-china-uyghur-1849501445
1156,Instagram fined $400 million for failing to protect children's data,DublinIreland's data privacy regulator has agreed to levy a record fine of 405 million euros ($402 million) against social network Instagram following an investigation into its handling of children's… [+1523 chars],"2022-09-13 20:00:41",https://www.cnn.com/2022/09/06/tech/instagram-fine-teens-privacy/index.html
1157,"Brazil halts sales of charger-less iPhones, fines Apple $2.3 million","Enlarge/ Apple's iPhone 12 Pro.
8 with 7 posters participating
The Brazilian government has suspended the sales of iPhones without chargers, it announced today. Apple is also facing a BRL$12,275,50… [+3218 chars]","2022-09-13 20:00:41",https://arstechnica.com/gadgets/2022/09/brazil-halts-sales-of-charger-less-iphones-fines-apple-2-3-million/
1158,Brazil orders Apple to suspend iPhone sales without charger - Reuters,"SAO PAULO, Sept 6 (Reuters) - Brazil's government on Tuesday ordered Apple Inc (AAPL.O) to stop selling iPhones without a battery charger in the country, claiming that the company provides an incompl… [+1080 chars]","2022-09-13 20:00:41",https://www.reuters.com/technology/brazil-orders-apple-suspend-iphone-sales-without-charger-2022-09-06/
1159,Factbox: What is expected at Apple's 'Far Out' fall event? - Reuters,"Sept 6 (Reuters) - Apple Inc (AAPL.O) will likely unveil a new line of iPhones, Watch Series 8 and other products on Wednesday at an event awaited by Wall Street and its legions of customers.
The ev… [+2332 chars]","2022-09-13 20:00:41",https://www.reuters.com/technology/what-is-expected-apples-far-out-fall-event-2022-09-06/
1160,"Google to launch Pixel Watch, Pixel 7 on Oct 6 - Reuters",Sept 6 (Reuters) - Alphabet Inc's Google (GOOGL.O) will on Oct. 6 launch the Pixel 7 and its first smartwatch as the company prepares to take on a new line of rival products from Apple Inc (AAPL.O) e… [+764 chars],"2022-09-13 20:00:41",https://www.reuters.com/technology/google-launch-pixel-watch-pixel-7-oct-6-2022-09-06/
1161,Futures climb after recent declines on Wall Street - Reuters,Sept 6 (Reuters) - U.S. stock index futures rose on Tuesday as investors returned from the Labor Day weekend to pick up beaten-down stocks after last week's selloff on worries about monetary policy t… [+2091 chars],"2022-09-13 20:00:41",https://www.reuters.com/markets/europe/futures-climb-after-recent-declines-wall-street-2022-09-06/
1162,Breakingviews - China's nuclear outlook is sunny and windy - Reuters,"HONG KONG, Sept 6 (Reuters Breakingviews) - Sichuans hydropower crisis has some officials calling for accelerated nuclear reactor construction. Unfortunately building plants in arid regions will be t… [+3675 chars]","2022-09-13 20:00:41",https://www.reuters.com/breakingviews/chinas-nuclear-outlook-is-sunny-windy-2022-09-06/
1163,EXCLUSIVE Deal partner for Trump's Truth Social fails to get backing for SPAC extension -sources - Reuters,Sept 5 (Reuters) - The blank-check acquisition firm that agreed to merge with Donald Trump's social media company failed to secure enough shareholder support for a one-year extension to complete the … [+4501 chars],"2022-09-13 20:00:41",https://www.reuters.com/markets/deals/exclusive-deal-partner-trumps-truth-social-fails-get-backing-spac-extension-2022-09-06/
1164,Don’t say ‘sandwiches’: how to give your lunchbox a lift,"What makes a good lunchbox?Emily, Croydon
In short: leftovers. We all want to avoid turning on the oven or stove too often to save both energy and time so make dinner with one eye on tomorrows lunch… [+2843 chars]","2022-09-13 20:00:41",https://amp.theguardian.com/food/2022/sep/06/dont-say-sandwiches-how-to-give-your-lunchbox-a-lift
1165,Apple to Offer Range of Extreme Sports-Style Bands for Apple Watch Pro,"With the impending arrival of the fitness-focused Apple Watch ""Pro"" model headlining the upcoming Series 8 lineup, Apple is set to offer customers a wide range of new bands for the larger device that… [+2190 chars]","2022-09-13 20:00:41",https://www.macrumors.com/2022/09/06/apple-to-offer-range-apple-watch-pro-bands/
1166,YouTube TV Now Supports 5.1 Surround Sound on Apple TV,"YouTube TV on the Apple TV has been updated with 5.1 audio support, YouTube announced today. The updated audio works with compatible live, DVR, and video on-demand content that's watched on YouTube T… [+450 chars]","2022-09-13 20:00:41",https://www.macrumors.com/2022/09/06/youtube-tv-5-1-surround-sound-apple-tv/
1167,iPhone 14 and iPhone 14 Plus Reportedly Feature Enhanced Version of A15 Chip,"Just two days ahead of Apple unveiling the iPhone 14 lineup, The Wall Street Journal's Tim Higgins reports that the lower-end iPhone 14 and iPhone 14 Plus models will be equipped with an ""enhanced ve… [+1336 chars]","2022-09-13 20:00:41",https://www.macrumors.com/2022/09/05/iphone-14-enhanced-a15-chip-report/
1168,Deals: Amazon Takes Up to $200 Off Apple's M2 13-Inch MacBook Pro,"Amazon has knocked the price of the new M2 MacBook Pro (512GB) down to $1,299.00, from $1,499.00. This sale price is available in both Silver and Space Gray color options.
Note: MacRumors is an affi… [+1047 chars]","2022-09-13 20:00:41",https://www.macrumors.com/2022/09/06/deals-200-off-m2-macbook-pro/
1169,"Deals: Get $99 Off Every Model of Apple's iPad Mini 6, Starting at $399.99","Apple's 64GB Wi-Fi iPad mini 6 has hit $399.99 on Amazon, down from an original price of $499.00. We've seen this deal a few times in 2022, but it's rarely been available in stock for all colors of t… [+904 chars]","2022-09-13 20:00:41",https://www.macrumors.com/2022/09/06/deals-99-off-ipad-mini-6/
